weather_id,store_id,weather_date,temperature_c,rainfall_mm,humidity_pct,weather_type
248,3,2021-02-19,23.8,0.0,53.3,Clear
249,4,2021-02-19,23.0,0.0,52.8,Clear
250,5,2021-02-19,22.7,0.0,60.2,Clear
251,1,2021-02-20,21.2,0.0,46.2,Clear
252,2,2021-02-20,19.4,0.0,43.8,Clear
253,3,2021-02-20,19.8,0.0,49.6,Clear
254,4,2021-02-20,22.8,0.0,50.3,Clear
255,5,2021-02-20,20.1,0.0,54.5,Clear
256,1,2021-02-21,21.6,0.0,46.7,Clear
257,2,2021-02-21,23.4,0.0,50.9,Clear
258,3,2021-02-21,18.4,0.0,49.7,Clear
259,4,2021-02-21,22.7,0.0,45.5,Clear
260,5,2021-02-21,22.5,0.0,42.7,Clear
261,1,2021-02-22,25.1,0.0,48.7,Clear
262,2,2021-02-22,22.9,0.0,38.0,Clear
263,3,2021-02-22,19.1,0.0,48.5,Clear
264,4,2021-02-22,19.3,0.0,53.6,Clear
265,5,2021-02-22,27.0,0.0,44.1,Clear
266,1,2021-02-23,22.6,0.0,58.1,Clear
267,2,2021-02-23,18.9,0.0,51.2,Clear
268,3,2021-02-23,26.6,0.0,41.7,Clear
269,4,2021-02-23,18.8,0.0,47.9,Clear
270,5,2021-02-23,20.7,0.0,54.1,Clear
271,1,2021-02-24,17.6,0.0,52.6,Clear
272,2,2021-02-24,20.6,0.0,56.4,Clear
273,3,2021-02-24,20.4,0.0,46.8,Clear
274,4,2021-02-24,23.4,0.0,53.8,Clear
275,5,2021-02-24,23.1,0.0,41.6,Clear
276,1,2021-02-25,22.6,0.01,42.9,Cloudy
277,2,2021-02-25,23.1,0.01,46.0,Cloudy
278,3,2021-02-25,18.8,0.01,53.6,Cloudy
279,4,2021-02-25,22.6,0.01,46.9,Cloudy
280,5,2021-02-25,25.6,0.01,47.8,Cloudy
281,1,2021-02-26,20.5,0.08,52.4,Cloudy
282,2,2021-02-26,20.7,0.08,47.9,Cloudy
283,3,2021-02-26,25.4,0.08,44.8,Cloudy
284,4,2021-02-26,16.0,0.08,58.1,Cloudy
285,5,2021-02-26,28.4,0.08,48.0,Cloudy
286,1,2021-02-27,21.2,0.0,48.6,Clear
287,2,2021-02-27,21.5,0.0,44.4,Clear
288,3,2021-02-27,23.4,0.0,52.6,Clear
289,4,2021-02-27,18.3,0.0,53.5,Clear
290,5,2021-02-27,27.1,0.0,50.9,Clear
291,1,2021-02-28,21.6,0.0,53.1,Clear
292,2,2021-02-28,17.7,0.0,50.8,Clear
293,3,2021-02-28,21.0,0.0,59.2,Clear
294,4,2021-02-28,21.6,0.0,58.3,Clear
295,5,2021-02-28,19.2,0.0,52.9,Clear
296,1,2021-03-01,35.4,0.04,61.1,Cloudy
297,2,2021-03-01,34.2,0.04,46.5,Cloudy
298,3,2021-03-01,35.0,0.04,50.5,Cloudy
299,4,2021-03-01,34.1,0.04,54.6,Cloudy
300,5,2021-03-01,30.7,0.04,46.9,Cloudy
301,1,2021-03-02,33.7,0.0,42.2,Clear
302,2,2021-03-02,37.0,0.0,56.4,Clear
303,3,2021-03-02,33.2,0.0,48.4,Clear
304,4,2021-03-02,37.1,0.0,56.7,Clear
305,5,2021-03-02,41.0,0.0,57.1,Clear
306,1,2021-03-03,34.6,0.0,59.1,Clear
307,2,2021-03-03,36.6,0.0,61.3,Clear
308,3,2021-03-03,33.7,0.0,52.8,Clear
309,4,2021-03-03,33.8,0.0,59.0,Clear
310,5,2021-03-03,38.7,0.0,52.7,Clear
311,1,2021-03-04,35.8,0.0,53.8,Clear
312,2,2021-03-04,37.4,0.0,43.7,Clear
313,3,2021-03-04,32.9,0.0,51.1,Clear
314,4,2021-03-04,29.2,0.0,50.2,Clear
315,5,2021-03-04,32.7,0.0,54.0,Clear
316,1,2021-03-05,34.4,0.0,49.8,Clear
317,2,2021-03-05,34.9,0.0,60.2,Clear
318,3,2021-03-05,32.6,0.0,50.4,Clear
319,4,2021-03-05,36.4,0.0,53.9,Clear
320,5,2021-03-05,36.6,0.0,54.9,Clear
321,1,2021-03-06,32.4,0.0,54.9,Clear
322,2,2021-03-06,34.5,0.0,48.9,Clear
323,3,2021-03-06,31.1,0.0,58.4,Clear
324,4,2021-03-06,34.1,0.0,49.9,Clear
325,5,2021-03-06,34.8,0.0,60.6,Clear
326,1,2021-03-07,31.3,0.0,50.4,Clear
327,2,2021-03-07,38.7,0.0,56.4,Clear
328,3,2021-03-07,36.9,0.0,49.3,Clear
329,4,2021-03-07,32.2,0.0,57.2,Clear
330,5,2021-03-07,35.1,0.0,57.7,Clear
331,1,2021-03-08,35.7,0.0,55.8,Clear
332,2,2021-03-08,36.9,0.0,59.0,Clear
333,3,2021-03-08,31.0,0.0,43.8,Clear
334,4,2021-03-08,37.5,0.0,60.9,Clear
335,5,2021-03-08,32.4,0.0,45.7,Clear
336,1,2021-03-09,39.5,0.03,57.6,Cloudy
337,2,2021-03-09,34.1,0.03,50.5,Cloudy
338,3,2021-03-09,35.0,0.03,53.5,Cloudy
339,4,2021-03-09,32.5,0.03,65.2,Cloudy
340,5,2021-03-09,39.5,0.03,60.7,Cloudy
341,1,2021-03-10,37.1,0.0,58.2,Clear
342,2,2021-03-10,36.1,0.0,61.2,Clear
343,3,2021-03-10,36.6,0.0,58.7,Clear
344,4,2021-03-10,36.6,0.0,56.7,Clear
345,5,2021-03-10,30.5,0.0,55.4,Clear
346,1,2021-03-11,31.8,0.0,63.4,Clear
347,2,2021-03-11,39.3,0.0,61.8,Clear
348,3,2021-03-11,35.6,0.0,61.8,Clear
349,4,2021-03-11,35.0,0.0,56.0,Clear
350,5,2021-03-11,32.3,0.0,57.0,Clear
351,1,2021-03-12,31.7,0.0,54.7,Clear
352,2,2021-03-12,34.8,0.0,64.0,Clear
353,3,2021-03-12,37.2,0.0,55.1,Clear
354,4,2021-03-12,35.6,0.0,55.2,Clear
355,5,2021-03-12,34.5,0.0,49.6,Clear
356,1,2021-03-13,33.1,0.0,48.7,Clear
357,2,2021-03-13,36.3,0.0,57.0,Clear
358,3,2021-03-13,30.5,0.0,54.4,Clear
359,4,2021-03-13,37.5,0.0,60.3,Clear
360,5,2021-03-13,37.6,0.0,55.2,Clear
361,1,2021-03-14,32.3,0.0,56.7,Clear
362,2,2021-03-14,35.9,0.0,61.4,Clear
363,3,2021-03-14,37.7,0.0,54.3,Clear
364,4,2021-03-14,31.9,0.0,53.4,Clear
365,5,2021-03-14,35.5,0.0,54.0,Clear
366,1,2021-03-15,35.6,0.0,52.5,Clear
367,2,2021-03-15,33.4,0.0,56.6,Clear
368,3,2021-03-15,34.0,0.0,56.2,Clear
369,4,2021-03-15,35.7,0.0,49.3,Clear
370,5,2021-03-15,33.8,0.0,62.2,Clear
371,1,2021-03-16,35.8,0.0,49.2,Clear
372,2,2021-03-16,29.7,0.0,45.7,Clear
373,3,2021-03-16,35.1,0.0,55.2,Clear
374,4,2021-03-16,34.7,0.0,61.1,Clear
375,5,2021-03-16,28.3,0.0,57.0,Clear
376,1,2021-03-17,32.2,0.0,53.1,Clear
377,2,2021-03-17,33.1,0.0,50.5,Clear
378,3,2021-03-17,34.2,0.0,62.1,Clear
379,4,2021-03-17,39.6,0.0,53.3,Clear
380,5,2021-03-17,39.8,0.0,55.2,Clear
381,1,2021-03-18,34.8,0.0,55.7,Clear
382,2,2021-03-18,35.9,0.0,70.9,Clear
383,3,2021-03-18,37.1,0.0,51.5,Clear
384,4,2021-03-18,37.4,0.0,53.2,Clear
385,5,2021-03-18,33.8,0.0,59.5,Clear
386,1,2021-03-19,35.7,0.0,55.1,Clear
387,2,2021-03-19,35.8,0.0,57.1,Clear
388,3,2021-03-19,30.2,0.0,58.3,Clear
389,4,2021-03-19,32.5,0.0,47.8,Clear
390,5,2021-03-19,34.9,0.0,55.4,Clear
391,1,2021-03-20,37.1,0.0,48.3,Clear
392,2,2021-03-20,34.0,0.0,52.1,Clear
393,3,2021-03-20,34.9,0.0,56.4,Clear
394,4,2021-03-20,32.5,0.0,58.6,Clear
395,5,2021-03-20,35.2,0.0,45.5,Clear
396,1,2021-03-21,35.0,0.0,53.9,Clear
397,2,2021-03-21,34.7,0.0,54.9,Clear
398,3,2021-03-21,35.6,0.0,59.7,Clear
399,4,2021-03-21,32.2,0.0,49.1,Clear
400,5,2021-03-21,32.3,0.0,56.4,Clear
401,1,2021-03-22,33.9,0.0,42.5,Clear
402,2,2021-03-22,30.7,0.0,50.8,Clear
403,3,2021-03-22,33.6,0.0,53.0,Clear
404,4,2021-03-22,35.1,0.0,53.4,Clear
405,5,2021-03-22,37.6,0.0,51.6,Clear
406,1,2021-03-23,36.2,0.0,47.3,Clear
407,2,2021-03-23,36.0,0.0,55.5,Clear
408,3,2021-03-23,34.6,0.0,62.9,Clear
409,4,2021-03-23,33.4,0.0,65.3,Clear
410,5,2021-03-23,34.4,0.0,48.6,Clear
411,1,2021-03-24,32.3,0.0,51.2,Clear
412,2,2021-03-24,36.0,0.0,57.8,Clear
413,3,2021-03-24,33.4,0.0,59.9,Clear
414,4,2021-03-24,37.9,0.0,62.2,Clear
415,5,2021-03-24,36.3,0.0,61.8,Clear
416,1,2021-03-25,34.2,0.0,50.7,Clear
417,2,2021-03-25,35.3,0.0,52.1,Clear
418,3,2021-03-25,34.6,0.0,64.4,Clear
419,4,2021-03-25,34.6,0.0,57.1,Clear
420,5,2021-03-25,34.4,0.0,55.4,Clear
421,1,2021-03-26,36.1,0.0,60.8,Clear
422,2,2021-03-26,39.1,0.0,56.5,Clear
423,3,2021-03-26,36.5,0.0,49.2,Clear
424,4,2021-03-26,34.8,0.0,59.7,Clear
425,5,2021-03-26,37.2,0.0,56.1,Clear
426,1,2021-03-27,36.2,0.0,61.0,Clear
427,2,2021-03-27,35.7,0.0,53.2,Clear
428,3,2021-03-27,35.8,0.0,40.3,Clear
429,4,2021-03-27,36.0,0.0,36.8,Clear
430,5,2021-03-27,30.7,0.0,57.3,Clear
431,1,2021-03-28,32.1,0.0,51.4,Clear
432,2,2021-03-28,38.4,0.0,52.6,Clear
433,3,2021-03-28,40.6,0.0,55.0,Clear
434,4,2021-03-28,36.0,0.0,63.1,Clear
435,5,2021-03-28,35.3,0.0,50.0,Clear
436,1,2021-03-29,34.9,0.0,48.2,Clear
437,2,2021-03-29,34.4,0.0,51.3,Clear
438,3,2021-03-29,37.3,0.0,55.2,Clear
439,4,2021-03-29,34.3,0.0,54.5,Clear
440,5,2021-03-29,35.6,0.0,58.1,Clear
441,1,2021-03-30,32.4,0.0,60.5,Clear
442,2,2021-03-30,34.0,0.0,47.9,Clear
443,3,2021-03-30,36.1,0.0,57.3,Clear
444,4,2021-03-30,31.2,0.0,56.1,Clear
445,5,2021-03-30,36.8,0.0,56.9,Clear
446,1,2021-03-31,35.8,0.09,53.5,Cloudy
447,2,2021-03-31,33.8,0.09,59.4,Cloudy
448,3,2021-03-31,38.7,0.09,64.0,Cloudy
449,4,2021-03-31,38.3,0.09,54.5,Cloudy
450,5,2021-03-31,35.9,0.09,58.8,Cloudy
451,1,2021-04-01,35.3,0.0,59.1,Clear
452,2,2021-04-01,34.9,0.0,51.4,Clear
453,3,2021-04-01,34.0,0.0,58.2,Clear
454,4,2021-04-01,35.0,0.0,56.7,Clear
455,5,2021-04-01,36.7,0.0,53.1,Clear
456,1,2021-04-02,35.9,0.0,48.8,Clear
457,2,2021-04-02,38.6,0.0,52.5,Clear
458,3,2021-04-02,30.9,0.0,49.8,Clear
459,4,2021-04-02,32.4,0.0,55.3,Clear
460,5,2021-04-02,34.3,0.0,53.3,Clear
461,1,2021-04-03,35.8,0.0,56.6,Clear
462,2,2021-04-03,36.0,0.0,58.1,Clear
463,3,2021-04-03,29.7,0.0,53.2,Clear
464,4,2021-04-03,29.5,0.0,55.2,Clear
465,5,2021-04-03,35.0,0.0,60.2,Clear
466,1,2021-04-04,35.5,0.0,52.5,Clear
467,2,2021-04-04,36.2,0.0,52.4,Clear
468,3,2021-04-04,35.0,0.0,59.9,Clear
469,4,2021-04-04,33.6,0.0,59.0,Clear
470,5,2021-04-04,36.7,0.0,50.2,Clear
471,1,2021-04-05,36.7,0.0,55.5,Clear
472,2,2021-04-05,33.1,0.0,50.7,Clear
473,3,2021-04-05,33.7,0.0,57.7,Clear
474,4,2021-04-05,32.6,0.0,57.2,Clear
475,5,2021-04-05,31.9,0.0,54.0,Clear
476,1,2021-04-06,41.1,0.0,48.1,Clear
477,2,2021-04-06,38.7,0.0,55.7,Clear
478,3,2021-04-06,36.0,0.0,55.6,Clear
479,4,2021-04-06,36.1,0.0,54.2,Clear
480,5,2021-04-06,38.6,0.0,52.7,Clear
481,1,2021-04-07,33.4,0.0,54.7,Clear
482,2,2021-04-07,32.3,0.0,57.3,Clear
483,3,2021-04-07,38.6,0.0,54.6,Clear
484,4,2021-04-07,34.5,0.0,49.4,Clear
485,5,2021-04-07,34.4,0.0,47.0,Clear
486,1,2021-04-08,35.6,0.0,61.6,Clear
487,2,2021-04-08,42.0,0.0,52.1,Clear
488,3,2021-04-08,38.6,0.0,56.2,Clear
489,4,2021-04-08,34.6,0.0,57.2,Clear
490,5,2021-04-08,35.2,0.0,55.6,Clear
491,1,2021-04-09,31.5,0.0,47.3,Clear
492,2,2021-04-09,36.6,0.0,53.6,Clear
493,3,2021-04-09,33.5,0.0,55.0,Clear
494,4,2021-04-09,37.0,0.0,55.9,Clear
495,5,2021-04-09,33.4,0.0,61.1,Clear
496,1,2021-04-10,37.8,0.05,58.1,Cloudy
497,2,2021-04-10,36.5,0.05,57.6,Cloudy
498,3,2021-04-10,32.3,0.05,58.5,Cloudy
499,4,2021-04-10,31.6,0.05,51.0,Cloudy
500,5,2021-04-10,38.3,0.05,59.2,Cloudy
501,1,2021-04-11,34.3,0.0,49.2,Clear
502,2,2021-04-11,34.4,0.0,55.5,Clear
503,3,2021-04-11,35.2,0.0,60.7,Clear
504,4,2021-04-11,34.1,0.0,56.8,Clear
505,5,2021-04-11,32.5,0.0,57.3,Clear
506,1,2021-04-12,34.4,0.04,54.1,Cloudy
507,2,2021-04-12,34.3,0.04,63.9,Cloudy
508,3,2021-04-12,34.8,0.04,53.8,Cloudy
509,4,2021-04-12,29.8,0.04,50.5,Cloudy
510,5,2021-04-12,34.3,0.04,51.6,Cloudy
511,1,2021-04-13,38.2,0.19,55.3,Cloudy
