inventory_id,store_id,product_id,stock_on_hand,reorder_point,safety_stock,max_stock_level,last_updated
137,1,137,0,175,100,1125,2024-12-31
138,1,138,0,175,100,1125,2024-12-31
139,1,139,3302,175,100,1125,2024-12-31
140,1,140,0,175,100,1125,2024-12-31
141,1,141,0,140,80,900,2024-12-31
142,1,142,813,140,80,900,2024-12-31
143,1,143,0,140,80,900,2024-12-31
144,1,144,0,140,80,900,2024-12-31
145,1,145,213,140,80,900,2024-12-31
146,1,146,0,112,64,720,2024-12-31
147,1,147,0,112,64,720,2024-12-31
148,1,148,106,112,64,720,2024-12-31
149,1,149,0,112,64,720,2024-12-31
150,1,150,0,91,52,585,2024-12-31
151,1,151,2579,91,52,585,2024-12-31
152,1,152,0,91,52,585,2024-12-31
153,1,153,0,140,80,900,2024-12-31
154,1,154,961,140,80,900,2024-12-31
155,1,155,0,140,80,900,2024-12-31
156,1,156,0,140,80,900,2024-12-31
157,1,157,153,91,52,585,2024-12-31
158,1,158,0,91,52,585,2024-12-31
159,1,159,0,91,52,585,2024-12-31
160,1,160,151,140,80,900,2024-12-31
161,1,161,0,140,80,900,2024-12-31
162,1,162,0,140,80,900,2024-12-31
163,1,163,223,140,80,900,2024-12-31
164,1,164,0,140,80,900,2024-12-31
165,1,165,0,70,40,450,2024-12-31
166,1,166,2018,70,40,450,2024-12-31
167,1,167,0,42,24,270,2024-12-31
168,1,168,0,42,24,270,2024-12-31
169,1,169,927,56,32,360,2024-12-31
170,1,170,0,56,32,360,2024-12-31
171,1,171,0,56,32,360,2024-12-31
172,1,172,1951,91,52,585,2024-12-31
173,1,173,0,91,52,585,2024-12-31
174,1,174,0,91,52,585,2024-12-31
175,1,175,91,49,28,315,2024-12-31
176,1,176,0,49,28,315,2024-12-31
177,1,177,0,49,28,315,2024-12-31
178,1,178,1427,49,28,315,2024-12-31
179,1,179,0,49,28,315,2024-12-31
180,1,180,0,49,28,315,2024-12-31
181,1,181,817,49,28,315,2024-12-31
182,1,182,0,84,48,540,2024-12-31
183,1,183,0,84,48,540,2024-12-31
184,1,184,451,56,32,360,2024-12-31
185,1,185,0,56,32,360,2024-12-31
186,1,186,0,56,32,360,2024-12-31
187,1,187,1371,56,32,360,2024-12-31
188,1,188,0,56,32,360,2024-12-31
189,1,189,0,21,12,135,2024-12-31
190,2,1,1579,140,80,900,2024-12-31
191,2,2,0,140,80,900,2024-12-31
192,2,3,0,140,80,900,2024-12-31
193,2,4,2161,140,80,900,2024-12-31
194,2,5,0,140,80,900,2024-12-31
195,2,6,0,140,80,900,2024-12-31
196,2,7,1792,140,80,900,2024-12-31
197,2,8,0,280,160,1800,2024-12-31
198,2,9,0,280,160,1800,2024-12-31
199,2,10,3163,280,160,1800,2024-12-31
200,2,11,0,280,160,1800,2024-12-31
201,2,12,0,280,160,1800,2024-12-31
202,2,13,3709,280,160,1800,2024-12-31
203,2,14,0,280,160,1800,2024-12-31
204,2,15,0,280,160,1800,2024-12-31
205,2,16,4043,280,160,1800,2024-12-31
206,2,17,0,126,72,810,2024-12-31
207,2,18,0,126,72,810,2024-12-31
208,2,19,1987,126,72,810,2024-12-31
209,2,20,0,126,72,810,2024-12-31
210,2,21,0,56,32,360,2024-12-31
211,2,22,340,56,32,360,2024-12-31
212,2,23,0,56,32,360,2024-12-31
213,2,24,0,630,360,4050,2024-12-31
214,2,25,4896,630,360,4050,2024-12-31
215,2,26,0,630,360,4050,2024-12-31
216,2,27,0,630,360,4050,2024-12-31
217,2,28,5605,280,160,1800,2024-12-31
218,2,29,0,280,160,1800,2024-12-31
219,2,30,0,280,160,1800,2024-12-31
220,2,31,3853,154,88,990,2024-12-31
221,2,32,0,154,88,990,2024-12-31
222,2,33,0,154,88,990,2024-12-31
223,2,34,3806,140,80,900,2024-12-31
224,2,35,0,140,80,900,2024-12-31
225,2,36,0,140,80,900,2024-12-31
226,2,37,3273,140,80,900,2024-12-31
227,2,38,0,385,220,2475,2024-12-31
228,2,39,0,385,220,2475,2024-12-31
229,2,40,1659,385,220,2475,2024-12-31
230,2,41,0,126,72,810,2024-12-31
231,2,42,0,126,72,810,2024-12-31
232,2,43,2027,126,72,810,2024-12-31
233,2,44,0,126,72,810,2024-12-31
234,2,45,0,140,80,900,2024-12-31
235,2,46,667,140,80,900,2024-12-31
236,2,47,0,140,80,900,2024-12-31
237,2,48,0,140,80,900,2024-12-31
238,2,49,897,140,80,900,2024-12-31
239,2,50,0,140,80,900,2024-12-31
240,2,51,0,154,88,990,2024-12-31
241,2,52,141,154,88,990,2024-12-31
242,2,53,0,154,88,990,2024-12-31
243,2,54,0,154,88,990,2024-12-31
244,2,55,2760,154,88,990,2024-12-31
245,2,56,0,196,112,1260,2024-12-31
246,2,57,0,196,112,1260,2024-12-31
247,2,58,4450,196,112,1260,2024-12-31
248,2,59,0,196,112,1260,2024-12-31
249,2,60,0,196,112,1260,2024-12-31
250,2,61,4327,196,112,1260,2024-12-31
251,2,62,0,196,112,1260,2024-12-31
252,2,63,0,98,56,630,2024-12-31
253,2,64,1803,98,56,630,2024-12-31
254,2,65,0,98,56,630,2024-12-31
255,2,66,0,98,56,630,2024-12-31
256,2,67,1081,196,112,1260,2024-12-31
257,2,68,0,196,112,1260,2024-12-31
258,2,69,0,196,112,1260,2024-12-31
259,2,70,1838,196,112,1260,2024-12-31
260,2,71,0,70,40,450,2024-12-31
261,2,72,0,70,40,450,2024-12-31
262,2,73,186,70,40,450,2024-12-31
263,2,74,0,70,40,450,2024-12-31
264,2,75,0,70,40,450,2024-12-31
265,2,76,1869,70,40,450,2024-12-31
266,2,77,0,70,40,450,2024-12-31
267,2,78,0,70,40,450,2024-12-31
268,2,79,2616,224,128,1440,2024-12-31
269,2,80,0,224,128,1440,2024-12-31
270,2,81,0,224,128,1440,2024-12-31
271,2,82,5157,224,128,1440,2024-12-31
272,2,83,0,224,128,1440,2024-12-31
273,2,84,0,280,160,1800,2024-12-31
274,2,85,525,280,160,1800,2024-12-31
275,2,86,0,280,160,1800,2024-12-31
276,2,87,0,280,160,1800,2024-12-31
277,2,88,1241,280,160,1800,2024-12-31
278,2,89,0,336,192,2160,2024-12-31
279,2,90,0,336,192,2160,2024-12-31
280,2,91,3679,336,192,2160,2024-12-31
281,2,92,0,336,192,2160,2024-12-31
282,2,93,0,336,192,2160,2024-12-31
283,2,94,866,336,192,2160,2024-12-31
284,2,95,0,224,128,1440,2024-12-31
285,2,96,0,224,128,1440,2024-12-31
286,2,97,6534,224,128,1440,2024-12-31
287,2,98,0,224,128,1440,2024-12-31
288,2,99,0,224,128,1440,2024-12-31
289,2,100,3094,336,192,2160,2024-12-31
290,2,101,0,336,192,2160,2024-12-31
291,2,102,0,336,192,2160,2024-12-31
292,2,103,817,336,192,2160,2024-12-31
293,2,104,0,336,192,2160,2024-12-31
294,2,105,0,336,192,2160,2024-12-31
295,2,106,9060,336,192,2160,2024-12-31
296,2,107,0,196,112,1260,2024-12-31
297,2,108,0,196,112,1260,2024-12-31
298,2,109,3128,196,112,1260,2024-12-31
299,2,110,0,196,112,1260,2024-12-31
300,2,111,0,196,112,1260,2024-12-31
301,2,112,1034,84,48,540,2024-12-31
302,2,113,0,84,48,540,2024-12-31
303,2,114,0,84,48,540,2024-12-31
304,2,115,4445,385,220,2475,2024-12-31
305,2,116,0,385,220,2475,2024-12-31
306,2,117,0,385,220,2475,2024-12-31
307,2,118,2057,280,160,1800,2024-12-31
308,2,119,0,280,160,1800,2024-12-31
309,2,120,0,280,160,1800,2024-12-31
310,2,121,7359,280,160,1800,2024-12-31
311,2,122,0,84,48,540,2024-12-31
312,2,123,0,84,48,540,2024-12-31
313,2,124,1030,140,80,900,2024-12-31
314,2,125,0,140,80,900,2024-12-31
315,2,126,0,70,40,450,2024-12-31
316,2,127,922,70,40,450,2024-12-31
317,2,128,0,56,32,360,2024-12-31
318,2,129,0,56,32,360,2024-12-31
319,2,130,1617,154,88,990,2024-12-31
320,2,131,0,154,88,990,2024-12-31
321,2,132,0,154,88,990,2024-12-31
322,2,133,1264,70,40,450,2024-12-31
323,2,134,0,70,40,450,2024-12-31
324,2,135,0,70,40,450,2024-12-31
325,2,136,1553,70,40,450,2024-12-31
326,2,137,0,175,100,1125,2024-12-31
327,2,138,0,175,100,1125,2024-12-31
328,2,139,2279,175,100,1125,2024-12-31
329,2,140,0,175,100,1125,2024-12-31
330,2,141,0,140,80,900,2024-12-31
331,2,142,1619,140,80,900,2024-12-31
332,2,143,0,140,80,900,2024-12-31
333,2,144,0,140,80,900,2024-12-31
334,2,145,1409,140,80,900,2024-12-31
335,2,146,0,112,64,720,2024-12-31
336,2,147,0,112,64,720,2024-12-31
337,2,148,742,112,64,720,2024-12-31
338,2,149,0,112,64,720,2024-12-31
339,2,150,0,91,52,585,2024-12-31
340,2,151,2708,91,52,585,2024-12-31
341,2,152,0,91,52,585,2024-12-31
342,2,153,0,140,80,900,2024-12-31
343,2,154,2577,140,80,900,2024-12-31
344,2,155,0,140,80,900,2024-12-31
345,2,156,0,140,80,900,2024-12-31
346,2,157,1433,91,52,585,2024-12-31
347,2,158,0,91,52,585,2024-12-31
348,2,159,0,91,52,585,2024-12-31
349,2,160,779,140,80,900,2024-12-31
350,2,161,0,140,80,900,2024-12-31
351,2,162,0,140,80,900,2024-12-31
352,2,163,1043,140,80,900,2024-12-31
353,2,164,0,140,80,900,2024-12-31
354,2,165,0,70,40,450,2024-12-31
355,2,166,1013,70,40,450,2024-12-31
356,2,167,0,42,24,270,2024-12-31
357,2,168,0,42,24,270,2024-12-31
358,2,169,668,56,32,360,2024-12-31
359,2,170,0,56,32,360,2024-12-31
360,2,171,0,56,32,360,2024-12-31
361,2,172,1854,91,52,585,2024-12-31
362,2,173,0,91,52,585,2024-12-31
363,2,174,0,91,52,585,2024-12-31
364,2,175,126,49,28,315,2024-12-31
365,2,176,0,49,28,315,2024-12-31
366,2,177,0,49,28,315,2024-12-31
367,2,178,1257,49,28,315,2024-12-31
368,2,179,0,49,28,315,2024-12-31
369,2,180,0,49,28,315,2024-12-31
370,2,181,1110,49,28,315,2024-12-31
371,2,182,0,84,48,540,2024-12-31
372,2,183,0,84,48,540,2024-12-31
373,2,184,144,56,32,360,2024-12-31
374,2,185,0,56,32,360,2024-12-31
375,2,186,0,56,32,360,2024-12-31
376,2,187,1465,56,32,360,2024-12-31
377,2,188,0,56,32,360,2024-12-31
378,2,189,0,21,12,135,2024-12-31
379,3,1,4524,315,180,2025,2024-12-31
380,3,2,0,315,180,2025,2024-12-31
381,3,3,0,315,180,2025,2024-12-31
382,3,4,7821,315,180,2025,2024-12-31
383,3,5,0,315,180,2025,2024-12-31
384,3,6,0,315,180,2025,2024-12-31
385,3,7,4777,315,180,2025,2024-12-31
386,3,8,0,630,360,4050,2024-12-31
387,3,9,0,630,360,4050,2024-12-31
388,3,10,6323,630,360,4050,2024-12-31
389,3,11,0,630,360,4050,2024-12-31
390,3,12,0,630,360,4050,2024-12-31
391,3,13,17658,630,360,4050,2024-12-31
392,3,14,0,630,360,4050,2024-12-31
393,3,15,0,630,360,4050,2024-12-31
394,3,16,4934,630,360,4050,2024-12-31
395,3,17,0,245,140,1575,2024-12-31
396,3,18,0,245,140,1575,2024-12-31
397,3,19,3733,245,140,1575,2024-12-31
398,3,20,0,245,140,1575,2024-12-31
399,3,21,0,105,60,675,2024-12-31
400,3,22,1156,105,60,675,2024-12-31
401,3,23,0,105,60,675,2024-12-31
402,3,24,0,1400,800,9000,2024-12-31
403,3,25,11979,1400,800,9000,2024-12-31
404,3,26,0,1400,800,9000,2024-12-31
405,3,27,0,1400,800,9000,2024-12-31
406,3,28,6561,560,320,3600,2024-12-31
407,3,29,0,560,320,3600,2024-12-31
408,3,30,0,560,320,3600,2024-12-31
409,3,31,6525,315,180,2025,2024-12-31
410,3,32,0,315,180,2025,2024-12-31
411,3,33,0,315,180,2025,2024-12-31
412,3,34,6838,280,160,1800,2024-12-31
413,3,35,0,280,160,1800,2024-12-31
414,3,36,0,280,160,1800,2024-12-31
415,3,37,2621,280,160,1800,2024-12-31
416,3,38,0,770,440,4950,2024-12-31
417,3,39,0,770,440,4950,2024-12-31
418,3,40,5574,770,440,4950,2024-12-31
419,3,41,0,280,160,1800,2024-12-31
420,3,42,0,280,160,1800,2024-12-31
421,3,43,2403,280,160,1800,2024-12-31
422,3,44,0,280,160,1800,2024-12-31
423,3,45,0,315,180,2025,2024-12-31
424,3,46,5067,315,180,2025,2024-12-31
425,3,47,0,315,180,2025,2024-12-31
426,3,48,0,315,180,2025,2024-12-31
427,3,49,5428,315,180,2025,2024-12-31
428,3,50,0,315,180,2025,2024-12-31
429,3,51,0,336,192,2160,2024-12-31
430,3,52,8825,336,192,2160,2024-12-31
431,3,53,0,336,192,2160,2024-12-31
432,3,54,0,336,192,2160,2024-12-31
433,3,55,425,336,192,2160,2024-12-31
434,3,56,0,420,240,2700,2024-12-31
435,3,57,0,420,240,2700,2024-12-31
436,3,58,7527,420,240,2700,2024-12-31
437,3,59,0,420,240,2700,2024-12-31
438,3,60,0,420,240,2700,2024-12-31
439,3,61,13458,420,240,2700,2024-12-31
440,3,62,0,420,240,2700,2024-12-31
441,3,63,0,210,120,1350,2024-12-31
442,3,64,6040,210,120,1350,2024-12-31
443,3,65,0,210,120,1350,2024-12-31
444,3,66,0,210,120,1350,2024-12-31
445,3,67,8334,420,240,2700,2024-12-31
446,3,68,0,420,240,2700,2024-12-31
447,3,69,0,420,240,2700,2024-12-31
448,3,70,10313,420,240,2700,2024-12-31
449,3,71,0,154,88,990,2024-12-31
450,3,72,0,154,88,990,2024-12-31
451,3,73,1338,154,88,990,2024-12-31
452,3,74,0,154,88,990,2024-12-31
453,3,75,0,154,88,990,2024-12-31
454,3,76,4072,140,80,900,2024-12-31
455,3,77,0,140,80,900,2024-12-31
456,3,78,0,140,80,900,2024-12-31
457,3,79,1861,490,280,3150,2024-12-31
458,3,80,0,490,280,3150,2024-12-31
459,3,81,0,490,280,3150,2024-12-31
460,3,82,5208,490,280,3150,2024-12-31
461,3,83,0,490,280,3150,2024-12-31
462,3,84,0,616,352,3960,2024-12-31
463,3,85,4883,616,352,3960,2024-12-31
464,3,86,0,616,352,3960,2024-12-31
465,3,87,0,616,352,3960,2024-12-31
466,3,88,14074,616,352,3960,2024-12-31
467,3,89,0,735,420,4725,2024-12-31
468,3,90,0,735,420,4725,2024-12-31
469,3,91,15042,735,420,4725,2024-12-31
470,3,92,0,735,420,4725,2024-12-31
471,3,93,0,735,420,4725,2024-12-31
472,3,94,922,735,420,4725,2024-12-31
473,3,95,0,490,280,3150,2024-12-31
474,3,96,0,490,280,3150,2024-12-31
475,3,97,13048,490,280,3150,2024-12-31
476,3,98,0,490,280,3150,2024-12-31
477,3,99,0,490,280,3150,2024-12-31
478,3,100,19732,735,420,4725,2024-12-31
479,3,101,0,735,420,4725,2024-12-31
480,3,102,0,735,420,4725,2024-12-31
481,3,103,8872,735,420,4725,2024-12-31
482,3,104,0,735,420,4725,2024-12-31
483,3,105,0,735,420,4725,2024-12-31
484,3,106,2687,735,420,4725,2024-12-31
485,3,107,0,420,240,2700,2024-12-31
486,3,108,0,420,240,2700,2024-12-31
487,3,109,4740,420,240,2700,2024-12-31
488,3,110,0,420,240,2700,2024-12-31
489,3,111,0,420,240,2700,2024-12-31
490,3,112,612,175,100,1125,2024-12-31
491,3,113,0,175,100,1125,2024-12-31
492,3,114,0,175,100,1125,2024-12-31
493,3,115,11644,840,480,5400,2024-12-31
494,3,116,0,840,480,5400,2024-12-31
495,3,117,0,840,480,5400,2024-12-31
496,3,118,3090,560,320,3600,2024-12-31
497,3,119,0,560,320,3600,2024-12-31
498,3,120,0,560,320,3600,2024-12-31
499,3,121,14789,560,320,3600,2024-12-31
500,3,122,0,175,100,1125,2024-12-31
501,3,123,0,175,100,1125,2024-12-31
502,3,124,3313,280,160,1800,2024-12-31
503,3,125,0,280,160,1800,2024-12-31
504,3,126,0,140,80,900,2024-12-31
505,3,127,2983,140,80,900,2024-12-31
506,3,128,0,112,64,720,2024-12-31
507,3,129,0,112,64,720,2024-12-31
508,3,130,5650,336,192,2160,2024-12-31
509,3,131,0,336,192,2160,2024-12-31
510,3,132,0,336,192,2160,2024-12-31
511,3,133,2855,140,80,900,2024-12-31
512,3,134,0,140,80,900,2024-12-31
513,3,135,0,140,80,900,2024-12-31
514,3,136,307,140,80,900,2024-12-31
515,3,137,0,385,220,2475,2024-12-31
516,3,138,0,385,220,2475,2024-12-31
517,3,139,8484,385,220,2475,2024-12-31
518,3,140,0,385,220,2475,2024-12-31
519,3,141,0,315,180,2025,2024-12-31
520,3,142,805,315,180,2025,2024-12-31
521,3,143,0,315,180,2025,2024-12-31
522,3,144,0,315,180,2025,2024-12-31
523,3,145,1702,315,180,2025,2024-12-31
524,3,146,0,245,140,1575,2024-12-31
525,3,147,0,245,140,1575,2024-12-31
526,3,148,3564,245,140,1575,2024-12-31
527,3,149,0,245,140,1575,2024-12-31
528,3,150,0,196,112,1260,2024-12-31
529,3,151,3885,196,112,1260,2024-12-31
530,3,152,0,196,112,1260,2024-12-31
531,3,153,0,294,168,1890,2024-12-31
532,3,154,1485,294,168,1890,2024-12-31
533,3,155,0,294,168,1890,2024-12-31
534,3,156,0,294,168,1890,2024-12-31
535,3,157,677,196,112,1260,2024-12-31
536,3,158,0,196,112,1260,2024-12-31
537,3,159,0,196,112,1260,2024-12-31
538,3,160,3114,308,176,1980,2024-12-31
539,3,161,0,308,176,1980,2024-12-31
540,3,162,0,308,176,1980,2024-12-31
541,3,163,4334,308,176,1980,2024-12-31
542,3,164,0,308,176,1980,2024-12-31
543,3,165,0,140,80,900,2024-12-31
544,3,166,3554,140,80,900,2024-12-31
545,3,167,0,84,48,540,2024-12-31
546,3,168,0,84,48,540,2024-12-31
547,3,169,1664,112,64,720,2024-12-31
548,3,170,0,112,64,720,2024-12-31
549,3,171,0,112,64,720,2024-12-31
550,3,172,2321,196,112,1260,2024-12-31
551,3,173,0,196,112,1260,2024-12-31
552,3,174,0,196,112,1260,2024-12-31
553,3,175,522,98,56,630,2024-12-31
554,3,176,0,98,56,630,2024-12-31
555,3,177,0,98,56,630,2024-12-31
556,3,178,2878,98,56,630,2024-12-31
557,3,179,0,98,56,630,2024-12-31
558,3,180,0,98,56,630,2024-12-31
559,3,181,1398,98,56,630,2024-12-31
560,3,182,0,175,100,1125,2024-12-31
561,3,183,0,175,100,1125,2024-12-31
562,3,184,1616,105,60,675,2024-12-31
563,3,185,0,105,60,675,2024-12-31
564,3,186,0,105,60,675,2024-12-31
565,3,187,1692,105,60,675,2024-12-31
566,3,188,0,105,60,675,2024-12-31
567,3,189,0,42,24,270,2024-12-31
568,4,1,1216,140,80,900,2024-12-31
569,4,2,0,140,80,900,2024-12-31
570,4,3,0,140,80,900,2024-12-31
571,4,4,1676,140,80,900,2024-12-31
572,4,5,0,140,80,900,2024-12-31
573,4,6,0,140,80,900,2024-12-31
574,4,7,4256,140,80,900,2024-12-31
575,4,8,0,280,160,1800,2024-12-31
576,4,9,0,280,160,1800,2024-12-31
577,4,10,4488,280,160,1800,2024-12-31
578,4,11,0,280,160,1800,2024-12-31
579,4,12,0,280,160,1800,2024-12-31
580,4,13,1642,280,160,1800,2024-12-31
581,4,14,0,280,160,1800,2024-12-31
582,4,15,0,280,160,1800,2024-12-31
583,4,16,2664,280,160,1800,2024-12-31
584,4,17,0,126,72,810,2024-12-31
585,4,18,0,126,72,810,2024-12-31
586,4,19,2961,126,72,810,2024-12-31
587,4,20,0,126,72,810,2024-12-31
588,4,21,0,56,32,360,2024-12-31
589,4,22,611,56,32,360,2024-12-31
590,4,23,0,56,32,360,2024-12-31
591,4,24,0,630,360,4050,2024-12-31
592,4,25,3932,630,360,4050,2024-12-31
593,4,26,0,630,360,4050,2024-12-31
594,4,27,0,630,360,4050,2024-12-31
595,4,28,4557,280,160,1800,2024-12-31
596,4,29,0,280,160,1800,2024-12-31
597,4,30,0,280,160,1800,2024-12-31
598,4,31,3676,154,88,990,2024-12-31
599,4,32,0,154,88,990,2024-12-31
600,4,33,0,154,88,990,2024-12-31
601,4,34,2044,140,80,900,2024-12-31
602,4,35,0,140,80,900,2024-12-31
603,4,36,0,140,80,900,2024-12-31
604,4,37,2285,140,80,900,2024-12-31
605,4,38,0,385,220,2475,2024-12-31
606,4,39,0,385,220,2475,2024-12-31
607,4,40,1063,385,220,2475,2024-12-31
608,4,41,0,126,72,810,2024-12-31
609,4,42,0,126,72,810,2024-12-31
610,4,43,2582,126,72,810,2024-12-31
611,4,44,0,126,72,810,2024-12-31
612,4,45,0,140,80,900,2024-12-31
613,4,46,478,140,80,900,2024-12-31
614,4,47,0,140,80,900,2024-12-31
615,4,48,0,140,80,900,2024-12-31
616,4,49,3461,140,80,900,2024-12-31
617,4,50,0,140,80,900,2024-12-31
618,4,51,0,154,88,990,2024-12-31
619,4,52,1633,154,88,990,2024-12-31
620,4,53,0,154,88,990,2024-12-31
621,4,54,0,154,88,990,2024-12-31
622,4,55,3342,154,88,990,2024-12-31
623,4,56,0,196,112,1260,2024-12-31
624,4,57,0,196,112,1260,2024-12-31
625,4,58,1394,196,112,1260,2024-12-31
626,4,59,0,196,112,1260,2024-12-31
627,4,60,0,196,112,1260,2024-12-31
628,4,61,4423,196,112,1260,2024-12-31
629,4,62,0,196,112,1260,2024-12-31
630,4,63,0,98,56,630,2024-12-31
631,4,64,1866,98,56,630,2024-12-31
632,4,65,0,98,56,630,2024-12-31
633,4,66,0,98,56,630,2024-12-31
634,4,67,654,196,112,1260,2024-12-31
635,4,68,0,196,112,1260,2024-12-31
636,4,69,0,196,112,1260,2024-12-31
637,4,70,413,196,112,1260,2024-12-31
638,4,71,0,70,40,450,2024-12-31
