po_id,supplier_id,store_id,order_date,expected_delivery,status,total_cost
58,4,22,2021-01-22,2021-01-30,DELIVERED,9942.66
59,3,24,2021-01-22,2021-01-27,DELIVERED,8236.2
60,5,24,2021-01-22,2021-01-27,DELIVERED,24128.1
61,4,1,2021-01-23,2021-01-31,DELIVERED,26671.58
62,4,3,2021-01-23,2021-02-01,DELIVERED,243940.12
63,3,4,2021-01-23,2021-01-27,DELIVERED,19529.23
64,4,6,2021-01-23,2021-02-01,DELIVERED,37888.5
65,1,7,2021-01-23,2021-01-25,DELIVERED,65505.36
66,1,11,2021-01-23,2021-01-25,DELIVERED,225335.05
67,2,13,2021-01-23,2021-01-29,DELIVERED,178151.22
68,4,14,2021-01-23,2021-01-28,DELIVERED,24304.28
69,5,15,2021-01-23,2021-01-28,DELIVERED,30256.38
70,1,16,2021-01-23,2021-01-27,DELIVERED,117748.7
71,4,21,2021-01-23,2021-02-01,DELIVERED,28091.96
72,4,22,2021-01-23,2021-01-30,DELIVERED,10337.21
73,3,24,2021-01-23,2021-01-29,DELIVERED,8236.2
74,5,24,2021-01-23,2021-01-28,DELIVERED,24128.1
75,7,25,2021-01-23,2021-01-27,DELIVERED,266131.32
76,4,1,2021-01-24,2021-02-01,DELIVERED,27618.5
77,1,3,2021-01-24,2021-01-27,DELIVERED,60100.32
78,4,3,2021-01-24,2021-02-01,DELIVERED,48529.65
79,4,3,2021-01-24,2021-02-01,DELIVERED,243940.12
80,3,4,2021-01-24,2021-01-28,DELIVERED,20275.57
81,4,5,2021-01-24,2021-02-02,DELIVERED,12555.07
82,4,6,2021-01-24,2021-02-01,DELIVERED,37888.5
83,1,7,2021-01-24,2021-01-26,DELIVERED,65505.36
84,2,11,2021-01-24,2021-01-27,DELIVERED,58037.84
85,6,11,2021-01-24,2021-01-28,DELIVERED,60878.1
86,2,13,2021-01-24,2021-01-30,DELIVERED,187043.22
87,4,14,2021-01-24,2021-01-30,DELIVERED,24304.28
88,1,16,2021-01-24,2021-01-27,DELIVERED,121550.6
89,3,16,2021-01-24,2021-01-30,DELIVERED,22482.6
90,4,18,2021-01-24,2021-01-31,DELIVERED,43704.08
91,4,21,2021-01-24,2021-02-01,DELIVERED,28091.96
92,5,22,2021-01-24,2021-01-29,DELIVERED,24206.95
93,3,24,2021-01-24,2021-01-29,DELIVERED,8236.2
94,5,24,2021-01-24,2021-01-30,DELIVERED,24128.1
95,7,25,2021-01-24,2021-01-27,DELIVERED,280022.79
96,4,1,2021-01-25,2021-02-03,DELIVERED,27618.5
97,4,2,2021-01-25,2021-02-02,DELIVERED,24619.92
98,1,3,2021-01-25,2021-01-27,DELIVERED,60100.32
99,4,3,2021-01-25,2021-02-03,DELIVERED,48529.65
100,4,3,2021-01-25,2021-02-03,DELIVERED,243940.12
101,3,4,2021-01-25,2021-01-29,DELIVERED,20275.57
102,4,5,2021-01-25,2021-02-02,DELIVERED,12555.07
103,4,6,2021-01-25,2021-02-02,DELIVERED,38932.5
104,1,7,2021-01-25,2021-01-27,DELIVERED,60585.0
105,1,7,2021-01-25,2021-01-27,DELIVERED,43588.76
106,4,7,2021-01-25,2021-02-03,DELIVERED,48845.29
107,3,10,2021-01-25,2021-01-30,DELIVERED,21435.4
108,4,10,2021-01-25,2021-02-02,DELIVERED,37604.86
109,2,11,2021-01-25,2021-01-28,DELIVERED,58037.84
110,6,11,2021-01-25,2021-01-29,DELIVERED,60878.1
111,2,13,2021-01-25,2021-02-01,DELIVERED,193801.14
112,4,14,2021-01-25,2021-01-31,DELIVERED,25409.02
113,1,16,2021-01-25,2021-01-29,DELIVERED,121550.6
114,3,16,2021-01-25,2021-01-30,DELIVERED,22980.8
115,4,18,2021-01-25,2021-02-01,DELIVERED,43704.08
116,4,20,2021-01-25,2021-02-02,DELIVERED,9311.38
117,4,21,2021-01-25,2021-02-03,DELIVERED,28091.96
118,5,22,2021-01-25,2021-01-30,DELIVERED,24206.95
119,3,23,2021-01-25,2021-01-31,DELIVERED,22609.8
120,4,23,2021-01-25,2021-02-01,DELIVERED,23728.32
121,1,24,2021-01-25,2021-01-30,DELIVERED,5718.96
122,3,24,2021-01-25,2021-01-31,DELIVERED,8480.0
123,5,24,2021-01-25,2021-01-31,DELIVERED,24128.1
124,7,25,2021-01-25,2021-01-29,DELIVERED,280022.79
125,1,1,2021-01-26,2021-01-28,DELIVERED,43044.3
126,4,2,2021-01-26,2021-02-04,DELIVERED,24619.92
127,1,3,2021-01-26,2021-01-28,DELIVERED,60100.32
128,4,3,2021-01-26,2021-02-03,DELIVERED,50344.58
129,4,3,2021-01-26,2021-02-04,DELIVERED,243940.12
130,3,4,2021-01-26,2021-01-31,DELIVERED,20737.59
131,4,5,2021-01-26,2021-02-04,DELIVERED,12837.66
132,6,6,2021-01-26,2021-01-31,DELIVERED,31014.12
133,1,7,2021-01-26,2021-01-29,DELIVERED,60585.0
134,1,7,2021-01-26,2021-01-29,DELIVERED,43588.76
135,4,7,2021-01-26,2021-02-04,DELIVERED,48845.29
136,3,10,2021-01-26,2021-01-30,DELIVERED,21435.4
137,4,10,2021-01-26,2021-02-03,DELIVERED,37604.86
138,2,11,2021-01-26,2021-01-29,DELIVERED,58037.84
139,6,11,2021-01-26,2021-01-30,DELIVERED,60878.1
140,2,13,2021-01-26,2021-02-02,DELIVERED,199492.02
141,4,14,2021-01-26,2021-01-31,DELIVERED,25409.02
142,1,16,2021-01-26,2021-01-29,DELIVERED,121550.6
143,3,16,2021-01-26,2021-02-01,DELIVERED,22980.8
144,1,18,2021-01-26,2021-01-29,DELIVERED,10593.72
145,4,18,2021-01-26,2021-02-02,DELIVERED,43704.08
146,4,20,2021-01-26,2021-02-04,DELIVERED,9627.02
147,4,21,2021-01-26,2021-02-04,DELIVERED,28091.96
148,5,22,2021-01-26,2021-01-31,DELIVERED,24206.95
149,3,23,2021-01-26,2021-02-01,DELIVERED,23118.6
150,4,23,2021-01-26,2021-02-02,DELIVERED,23728.32
151,1,24,2021-01-26,2021-01-31,DELIVERED,5718.96
152,3,24,2021-01-26,2021-02-01,DELIVERED,8480.0
153,7,25,2021-01-26,2021-01-30,DELIVERED,280022.79
154,1,1,2021-01-27,2021-01-30,DELIVERED,43044.3
155,4,2,2021-01-27,2021-02-05,DELIVERED,25645.75
156,4,3,2021-01-27,2021-02-05,DELIVERED,50344.58
157,4,3,2021-01-27,2021-02-04,DELIVERED,243940.12
158,7,3,2021-01-27,2021-01-31,DELIVERED,55481.36
159,4,5,2021-01-27,2021-02-05,DELIVERED,13281.73
160,6,6,2021-01-27,2021-02-01,DELIVERED,31946.13
161,1,7,2021-01-27,2021-01-29,DELIVERED,148981.36
162,4,7,2021-01-27,2021-02-04,DELIVERED,50344.58
163,5,8,2021-01-27,2021-01-31,DELIVERED,70962.5
164,4,10,2021-01-27,2021-02-05,DELIVERED,34104.0
165,3,10,2021-01-27,2021-01-31,DELIVERED,21435.4
166,4,10,2021-01-27,2021-02-05,DELIVERED,37604.86
167,6,11,2021-01-27,2021-02-01,DELIVERED,60878.1
168,6,13,2021-01-27,2021-02-03,DELIVERED,115421.8
169,2,13,2021-01-27,2021-02-02,DELIVERED,199492.02
170,4,14,2021-01-27,2021-02-01,DELIVERED,26040.3
171,7,15,2021-01-27,2021-01-31,DELIVERED,27533.66
172,3,16,2021-01-27,2021-02-02,DELIVERED,22980.8
173,4,16,2021-01-27,2021-02-04,DELIVERED,24698.83
174,5,18,2021-01-27,2021-02-02,DELIVERED,7655.1
175,1,18,2021-01-27,2021-01-30,DELIVERED,11078.4
176,4,18,2021-01-27,2021-02-02,DELIVERED,43704.08
177,4,19,2021-01-27,2021-02-02,DELIVERED,11500.88
178,4,20,2021-01-27,2021-02-05,DELIVERED,9942.66
179,7,20,2021-01-27,2021-02-01,DELIVERED,11800.14
180,4,21,2021-01-27,2021-02-04,DELIVERED,28091.96
181,5,22,2021-01-27,2021-02-01,DELIVERED,24206.95
182,3,23,2021-01-27,2021-02-02,DELIVERED,23118.6
183,4,23,2021-01-27,2021-02-03,DELIVERED,24368.96
184,1,24,2021-01-27,2021-02-01,DELIVERED,5816.72
185,4,2,2021-01-28,2021-02-06,DELIVERED,25645.75
186,4,3,2021-01-28,2021-02-06,DELIVERED,50344.58
187,4,3,2021-01-28,2021-02-05,DELIVERED,243940.12
188,7,3,2021-01-28,2021-02-02,DELIVERED,56930.5
189,3,4,2021-01-28,2021-02-01,DELIVERED,29824.68
190,4,5,2021-01-28,2021-02-06,DELIVERED,13443.21
191,6,6,2021-01-28,2021-02-03,DELIVERED,32838.48
192,1,7,2021-01-28,2021-01-31,DELIVERED,148981.36
193,4,7,2021-01-28,2021-02-06,DELIVERED,50344.58
194,7,7,2021-01-28,2021-02-01,DELIVERED,55688.38
195,5,8,2021-01-28,2021-02-01,DELIVERED,70962.5
196,6,9,2021-01-28,2021-02-02,DELIVERED,57108.35
197,4,10,2021-01-28,2021-02-05,DELIVERED,34104.0
198,3,10,2021-01-28,2021-02-02,DELIVERED,21811.9
199,4,10,2021-01-28,2021-02-06,DELIVERED,37604.86
200,6,12,2021-01-28,2021-02-02,DELIVERED,55970.2
201,6,13,2021-01-28,2021-02-04,DELIVERED,115421.8
202,2,13,2021-01-28,2021-02-03,DELIVERED,199492.02
203,7,15,2021-01-28,2021-02-01,DELIVERED,27533.66
204,3,16,2021-01-28,2021-02-03,DELIVERED,23691.0
205,4,16,2021-01-28,2021-02-05,DELIVERED,24698.83
206,3,17,2021-01-28,2021-02-03,DELIVERED,21013.84
207,5,18,2021-01-28,2021-02-03,DELIVERED,7655.1
208,1,18,2021-01-28,2021-01-31,DELIVERED,11563.08
209,4,18,2021-01-28,2021-02-03,DELIVERED,43704.08
210,4,19,2021-01-28,2021-02-03,DELIVERED,11500.88
211,2,20,2021-01-28,2021-01-31,DELIVERED,9532.6
212,4,20,2021-01-28,2021-02-05,DELIVERED,10179.39
213,7,20,2021-01-28,2021-02-01,DELIVERED,11800.14
214,5,22,2021-01-28,2021-02-02,DELIVERED,24206.95
215,4,23,2021-01-28,2021-02-03,DELIVERED,81418.14
216,3,23,2021-01-28,2021-02-03,DELIVERED,23118.6
217,4,23,2021-01-28,2021-02-03,DELIVERED,24368.96
218,1,24,2021-01-28,2021-02-02,DELIVERED,5816.72
219,6,24,2021-01-28,2021-02-01,DELIVERED,28550.6
220,4,24,2021-01-28,2021-02-03,DELIVERED,42812.16
221,6,25,2021-01-28,2021-02-01,DELIVERED,57376.15
222,4,2,2021-01-29,2021-02-06,DELIVERED,25645.75
223,3,3,2021-01-29,2021-02-02,DELIVERED,153288.8
224,4,3,2021-01-29,2021-02-06,DELIVERED,50344.58
225,4,3,2021-01-29,2021-02-07,DELIVERED,243940.12
226,7,3,2021-01-29,2021-02-03,DELIVERED,56930.5
227,3,4,2021-01-29,2021-02-03,DELIVERED,29824.68
228,7,4,2021-01-29,2021-02-02,DELIVERED,265887.61
229,4,5,2021-01-29,2021-02-07,DELIVERED,13443.21
230,7,5,2021-01-29,2021-02-02,DELIVERED,95046.9
231,6,6,2021-01-29,2021-02-03,DELIVERED,32838.48
232,6,7,2021-01-29,2021-02-03,DELIVERED,93182.4
233,4,7,2021-01-29,2021-02-06,DELIVERED,50344.58
234,7,7,2021-01-29,2021-02-03,DELIVERED,55688.38
235,1,8,2021-01-29,2021-01-31,DELIVERED,42767.37
236,5,8,2021-01-29,2021-02-02,DELIVERED,73460.38
237,6,9,2021-01-29,2021-02-04,DELIVERED,58447.35
238,4,10,2021-01-29,2021-02-06,DELIVERED,35235.0
239,3,10,2021-01-29,2021-02-03,DELIVERED,21811.9
240,4,10,2021-01-29,2021-02-06,DELIVERED,38498.28
241,6,12,2021-01-29,2021-02-02,DELIVERED,55970.2
242,4,12,2021-01-29,2021-02-05,DELIVERED,113719.8
243,6,13,2021-01-29,2021-02-04,DELIVERED,115421.8
244,1,14,2021-01-29,2021-02-04,DELIVERED,32881.29
245,4,15,2021-01-29,2021-02-06,DELIVERED,34234.5
246,7,15,2021-01-29,2021-02-03,DELIVERED,28465.25
247,3,16,2021-01-29,2021-02-04,DELIVERED,23691.0
248,4,16,2021-01-29,2021-02-06,DELIVERED,24698.83
249,6,17,2021-01-29,2021-02-04,DELIVERED,31424.28
250,3,17,2021-01-29,2021-02-04,DELIVERED,21013.84
251,5,18,2021-01-29,2021-02-03,DELIVERED,7655.1
252,4,18,2021-01-29,2021-02-04,DELIVERED,43704.08
253,4,19,2021-01-29,2021-02-04,DELIVERED,11500.88
254,2,20,2021-01-29,2021-02-02,DELIVERED,9532.6
255,4,20,2021-01-29,2021-02-07,DELIVERED,10573.94
256,7,20,2021-01-29,2021-02-02,DELIVERED,11800.14
257,4,22,2021-01-29,2021-02-06,DELIVERED,15676.19
258,4,23,2021-01-29,2021-02-04,DELIVERED,81418.14
259,4,23,2021-01-29,2021-02-05,DELIVERED,44204.4
260,3,23,2021-01-29,2021-02-03,DELIVERED,23118.6
261,7,23,2021-01-29,2021-02-03,DELIVERED,64344.0
262,4,23,2021-01-29,2021-02-05,DELIVERED,24368.96
263,5,24,2021-01-29,2021-02-03,DELIVERED,7789.4
264,1,24,2021-01-29,2021-02-03,DELIVERED,5865.6
265,6,24,2021-01-29,2021-02-03,DELIVERED,28550.6
266,4,24,2021-01-29,2021-02-05,DELIVERED,44150.04
267,6,25,2021-01-29,2021-02-02,DELIVERED,57376.15
268,1,1,2021-01-30,2021-02-02,DELIVERED,15690.48
269,3,2,2021-01-30,2021-02-04,DELIVERED,53953.54
270,4,2,2021-01-30,2021-02-07,DELIVERED,25645.75
271,3,3,2021-01-30,2021-02-03,DELIVERED,157802.4
272,4,3,2021-01-30,2021-02-07,DELIVERED,77808.76
273,4,3,2021-01-30,2021-02-07,DELIVERED,50344.58
274,4,3,2021-01-30,2021-02-08,DELIVERED,243940.12
275,7,3,2021-01-30,2021-02-04,DELIVERED,56930.5
276,3,4,2021-01-30,2021-02-04,DELIVERED,29824.68
277,7,4,2021-01-30,2021-02-03,DELIVERED,265887.61
278,1,4,2021-01-30,2021-02-02,DELIVERED,33138.51
279,4,5,2021-01-30,2021-02-07,DELIVERED,13443.21
280,7,5,2021-01-30,2021-02-03,DELIVERED,100164.81
281,3,5,2021-01-30,2021-02-04,DELIVERED,13161.52
282,4,5,2021-01-30,2021-02-08,DELIVERED,21216.51
283,6,6,2021-01-30,2021-02-05,DELIVERED,32838.48
284,1,7,2021-01-30,2021-02-02,DELIVERED,28106.0
285,6,7,2021-01-30,2021-02-05,DELIVERED,97237.56
286,4,7,2021-01-30,2021-02-08,DELIVERED,50344.58
287,7,7,2021-01-30,2021-02-04,DELIVERED,55688.38
288,4,8,2021-01-30,2021-02-08,DELIVERED,72053.48
289,1,8,2021-01-30,2021-02-02,DELIVERED,42767.37
290,5,8,2021-01-30,2021-02-03,DELIVERED,73460.38
291,6,9,2021-01-30,2021-02-04,DELIVERED,58447.35
292,4,10,2021-01-30,2021-02-08,DELIVERED,37018.5
293,3,10,2021-01-30,2021-02-03,DELIVERED,21231.6
294,4,10,2021-01-30,2021-02-07,DELIVERED,38498.28
295,2,11,2021-01-30,2021-02-02,DELIVERED,79834.5
296,5,12,2021-01-30,2021-02-04,DELIVERED,21098.53
297,6,12,2021-01-30,2021-02-03,DELIVERED,55970.2
298,4,12,2021-01-30,2021-02-06,DELIVERED,113719.8
299,6,13,2021-01-30,2021-02-06,DELIVERED,120242.2
300,1,14,2021-01-30,2021-02-05,DELIVERED,34381.74
301,4,15,2021-01-30,2021-02-07,DELIVERED,34234.5
302,1,15,2021-01-30,2021-02-03,DELIVERED,20121.2
303,7,15,2021-01-30,2021-02-04,DELIVERED,28465.25
304,2,16,2021-01-30,2021-02-03,DELIVERED,37459.5
305,3,16,2021-01-30,2021-02-05,DELIVERED,19940.7
306,4,16,2021-01-30,2021-02-07,DELIVERED,25803.57
307,6,17,2021-01-30,2021-02-05,DELIVERED,31424.28
308,3,17,2021-01-30,2021-02-04,DELIVERED,21013.84
309,5,18,2021-01-30,2021-02-04,DELIVERED,7655.1
310,1,18,2021-01-30,2021-02-02,DELIVERED,41055.11
311,4,18,2021-01-30,2021-02-05,DELIVERED,43704.08
312,2,19,2021-01-30,2021-02-05,DELIVERED,32002.74
313,4,19,2021-01-30,2021-02-04,DELIVERED,11500.88
314,6,20,2021-01-30,2021-02-05,DELIVERED,3354.75
315,2,20,2021-01-30,2021-02-02,DELIVERED,9532.6
316,4,20,2021-01-30,2021-02-08,DELIVERED,10573.94
317,4,20,2021-01-30,2021-02-07,DELIVERED,42366.2
318,7,20,2021-01-30,2021-02-04,DELIVERED,11800.14
319,6,21,2021-01-30,2021-02-04,DELIVERED,108541.2
320,3,22,2021-01-30,2021-02-05,DELIVERED,26647.6
321,4,22,2021-01-30,2021-02-07,DELIVERED,15676.19
322,4,23,2021-01-30,2021-02-06,DELIVERED,81418.14
323,4,23,2021-01-30,2021-02-05,DELIVERED,46005.32
324,3,23,2021-01-30,2021-02-05,DELIVERED,23118.6
325,7,23,2021-01-30,2021-02-03,DELIVERED,64344.0
326,4,23,2021-01-30,2021-02-05,DELIVERED,25083.52
327,5,24,2021-01-30,2021-02-05,DELIVERED,7789.4
328,6,24,2021-01-30,2021-02-03,DELIVERED,28550.6
329,4,24,2021-01-30,2021-02-06,DELIVERED,45933.88
330,6,25,2021-01-30,2021-02-03,DELIVERED,57376.15
331,1,1,2021-01-31,2021-02-03,DELIVERED,15690.48
332,3,2,2021-01-31,2021-02-05,DELIVERED,53953.54
333,4,2,2021-01-31,2021-02-09,DELIVERED,25645.75
334,4,3,2021-01-31,2021-02-08,DELIVERED,71333.79
335,3,3,2021-01-31,2021-02-04,DELIVERED,157802.4
336,2,3,2021-01-31,2021-02-03,DELIVERED,184327.47
337,4,3,2021-01-31,2021-02-09,DELIVERED,80813.9
338,4,3,2021-01-31,2021-02-09,DELIVERED,50344.58
339,4,3,2021-01-31,2021-02-08,DELIVERED,252636.34
340,4,4,2021-01-31,2021-02-09,DELIVERED,34234.5
341,3,4,2021-01-31,2021-02-05,DELIVERED,29824.68
342,3,4,2021-01-31,2021-02-04,DELIVERED,21367.7
343,7,4,2021-01-31,2021-02-04,DELIVERED,275879.72
344,1,4,2021-01-31,2021-02-02,DELIVERED,33138.51
345,5,4,2021-01-31,2021-02-04,DELIVERED,69145.86
346,4,5,2021-01-31,2021-02-08,DELIVERED,13443.21
347,3,5,2021-01-31,2021-02-04,DELIVERED,7655.5
348,7,5,2021-01-31,2021-02-04,DELIVERED,100164.81
349,3,5,2021-01-31,2021-02-05,DELIVERED,13161.52
350,4,5,2021-01-31,2021-02-08,DELIVERED,21216.51
351,1,7,2021-01-31,2021-02-02,DELIVERED,28936.96
352,6,7,2021-01-31,2021-02-05,DELIVERED,97237.56
353,4,7,2021-01-31,2021-02-08,DELIVERED,50344.58
354,7,7,2021-01-31,2021-02-05,DELIVERED,55688.38
355,1,8,2021-01-31,2021-02-03,DELIVERED,118630.3
356,4,8,2021-01-31,2021-02-08,DELIVERED,72053.48
357,6,9,2021-01-31,2021-02-06,DELIVERED,58447.35
358,5,10,2021-01-31,2021-02-04,DELIVERED,20628.48
359,4,10,2021-01-31,2021-02-09,DELIVERED,38019.0
360,3,10,2021-01-31,2021-02-04,DELIVERED,22211.52
361,4,10,2021-01-31,2021-02-09,DELIVERED,38498.28
362,2,11,2021-01-31,2021-02-03,DELIVERED,79834.5
363,6,11,2021-01-31,2021-02-04,DELIVERED,106407.18
364,4,12,2021-01-31,2021-02-07,DELIVERED,82587.33
365,5,12,2021-01-31,2021-02-04,DELIVERED,21098.53
366,6,12,2021-01-31,2021-02-05,DELIVERED,55970.2
367,7,12,2021-01-31,2021-02-05,DELIVERED,272224.07
368,4,12,2021-01-31,2021-02-07,DELIVERED,24225.37
369,4,12,2021-01-31,2021-02-07,DELIVERED,113719.8
370,6,13,2021-01-31,2021-02-06,DELIVERED,120242.2
371,1,13,2021-01-31,2021-02-05,DELIVERED,59061.72
372,1,14,2021-01-31,2021-02-06,DELIVERED,34381.74
373,4,15,2021-01-31,2021-02-07,DELIVERED,34234.5
374,1,15,2021-01-31,2021-02-03,DELIVERED,20121.2
375,6,15,2021-01-31,2021-02-05,DELIVERED,42881.16
376,2,16,2021-01-31,2021-02-05,DELIVERED,39357.9
377,3,16,2021-01-31,2021-02-06,DELIVERED,19940.7
378,4,16,2021-01-31,2021-02-09,DELIVERED,25803.57
379,6,17,2021-01-31,2021-02-05,DELIVERED,31424.28
380,3,17,2021-01-31,2021-02-06,DELIVERED,30059.52
381,3,17,2021-01-31,2021-02-06,DELIVERED,21013.84
382,5,18,2021-01-31,2021-02-06,DELIVERED,7977.42
383,1,18,2021-01-31,2021-02-03,DELIVERED,42526.14
384,2,19,2021-01-31,2021-02-06,DELIVERED,32002.74
385,4,19,2021-01-31,2021-02-06,DELIVERED,11821.72
386,3,19,2021-01-31,2021-02-06,DELIVERED,7925.15
387,6,20,2021-01-31,2021-02-05,DELIVERED,3354.75
388,5,20,2021-01-31,2021-02-04,DELIVERED,11324.46
389,4,20,2021-01-31,2021-02-08,DELIVERED,10652.85
390,4,20,2021-01-31,2021-02-09,DELIVERED,44818.98
391,7,20,2021-01-31,2021-02-04,DELIVERED,12524.71
392,6,21,2021-01-31,2021-02-05,DELIVERED,114779.2
393,6,21,2021-01-31,2021-02-06,DELIVERED,77559.04
394,3,22,2021-01-31,2021-02-06,DELIVERED,26647.6
395,4,22,2021-01-31,2021-02-07,DELIVERED,15676.19
396,4,23,2021-01-31,2021-02-07,DELIVERED,81418.14
397,1,23,2021-01-31,2021-02-03,DELIVERED,14908.4
398,4,23,2021-01-31,2021-02-07,DELIVERED,46005.32
399,7,23,2021-01-31,2021-02-04,DELIVERED,64344.0
400,4,23,2021-01-31,2021-02-07,DELIVERED,25822.72
401,5,24,2021-01-31,2021-02-05,DELIVERED,7789.4
402,6,24,2021-01-31,2021-02-05,DELIVERED,28550.6
403,4,24,2021-01-31,2021-02-06,DELIVERED,45933.88
404,6,25,2021-01-31,2021-02-04,DELIVERED,57376.15
405,1,1,2021-02-01,2021-02-03,DELIVERED,15690.48
406,3,2,2021-02-01,2021-02-06,DELIVERED,55477.26
407,4,2,2021-02-01,2021-02-09,DELIVERED,25645.75
408,4,2,2021-02-01,2021-02-10,DELIVERED,96244.48
409,4,3,2021-02-01,2021-02-10,DELIVERED,73998.21
410,3,3,2021-02-01,2021-02-06,DELIVERED,157802.4
411,2,3,2021-02-01,2021-02-04,DELIVERED,190977.39
412,1,3,2021-02-01,2021-02-03,DELIVERED,43309.0
413,4,3,2021-02-01,2021-02-09,DELIVERED,80813.9
414,4,4,2021-02-01,2021-02-10,DELIVERED,34234.5
415,3,4,2021-02-01,2021-02-05,DELIVERED,21008.7
416,3,4,2021-02-01,2021-02-05,DELIVERED,22279.57
417,7,4,2021-02-01,2021-02-06,DELIVERED,275879.72
418,1,4,2021-02-01,2021-02-04,DELIVERED,33138.51
419,5,4,2021-02-01,2021-02-06,DELIVERED,69145.86
420,4,5,2021-02-01,2021-02-09,DELIVERED,13806.54
421,3,5,2021-02-01,2021-02-05,DELIVERED,7655.5
422,7,5,2021-02-01,2021-02-06,DELIVERED,103820.46
423,3,5,2021-02-01,2021-02-05,DELIVERED,13161.52
424,4,5,2021-02-01,2021-02-10,DELIVERED,21216.51
425,6,5,2021-02-01,2021-02-07,DELIVERED,1846.72
426,6,6,2021-02-01,2021-02-06,DELIVERED,107605.5
427,1,7,2021-02-01,2021-02-03,DELIVERED,28936.96
428,2,7,2021-02-01,2021-02-04,DELIVERED,179485.02
429,6,7,2021-02-01,2021-02-07,DELIVERED,97237.56
430,4,7,2021-02-01,2021-02-09,DELIVERED,50344.58
431,1,8,2021-02-01,2021-02-03,DELIVERED,118630.3
432,4,8,2021-02-01,2021-02-09,DELIVERED,74313.46
433,6,9,2021-02-01,2021-02-07,DELIVERED,59585.5
434,3,9,2021-02-01,2021-02-06,DELIVERED,33221.2
435,4,9,2021-02-01,2021-02-09,DELIVERED,94121.44
